Harga,LuasTanah,LuasBangunan,JumlahKamarTidur,JumlahKamarMandi,Garasi,Kota
14000000000.0,380,350,6,4,ADA,JAKSEL
5600000000.0,151,254,4,3,ADA,JAKSEL
38000000000.0,1390,750,6,4,TIDAK ADA,JAKSEL
30000000000.0,557,400,4,3,TIDAK ADA,JAKSEL
17500000000.0,518,450,5,7,ADA,JAKSEL
39500000000.0,1960,900,5,4,ADA,JAKSEL
15000000000.0,395,460,4,4,ADA,JAKSEL
13000000000.0,235,623,5,5,TIDAK ADA,JAKSEL
8500000000.0,434,380,5,2,TIDAK ADA,JAKSEL
45000000000.0,836,600,4,4,ADA,JAKSEL
10000000000.0,230,350,3,2,ADA,JAKSEL
20000000000.0,425,500,5,4,ADA,JAKSEL
5800000000.0,144,285,4,3,ADA,JAKSEL
20900000000.0,754,500,4,4,ADA,JAKSEL
24000000000.0,832,650,4,1,TIDAK ADA,JAKSEL
23000000000.0,800,400,4,4,ADA,JAKSEL
9000000000.0,256,245,4,4,TIDAK ADA,JAKSEL
1350000000.0,72,150,3,3,TIDAK ADA,JAKSEL
23000000000.0,800,500,5,4,TIDAK ADA,JAKSEL
14000000000.0,464,350,4,3,ADA,JAKSEL
15000000000.0,733,140,2,2,TIDAK ADA,JAKSEL
6500000000.0,500,400,17,18,ADA,JAKSEL
6800000000.0,376,352,5,5,TIDAK ADA,JAKSEL
10500000000.0,320,360,6,4,ADA,JAKSEL
20000000000.0,442,600,3,4,ADA,JAKSEL
16000000000.0,895,420,5,4,ADA,JAKSEL
15000000000.0,400,500,4,4,TIDAK ADA,JAKSEL
9000000000.0,240,380,3,3,ADA,JAKSEL
33000000000.0,1750,700,6,6,ADA,JAKSEL
6200000000.0,450,550,4,4,ADA,JAKSEL
40000000000.0,600,500,8,5,ADA,JAKSEL
14500000000.0,240,450,4,4,ADA,JAKSEL
25000000000.0,900,600,4,3,TIDAK ADA,JAKSEL
6200000000.0,376,352,4,2,ADA,JAKSEL
38000000000.0,2880,1000,7,6,ADA,JAKSEL
9000000000.0,350,650,4,3,ADA,JAKSEL
7000000000.0,251,325,3,3,TIDAK ADA,JAKSEL
9900000000.0,452,200,3,2,ADA,JAKSEL
15000000000.0,291,400,4,4,ADA,JAKSEL
16000000000.0,445,1200,6,6,ADA,JAKSEL
9000000000.0,300,300,4,3,ADA,JAKSEL
25000000000.0,700,500,4,4,ADA,JAKSEL
10000000000.0,468,410,4,3,ADA,JAKSEL
9500000000.0,350,430,4,4,TIDAK ADA,JAKSEL
30000000000.0,778,320,3,2,TIDAK ADA,JAKSEL
15000000000.0,923,900,5,4,TIDAK ADA,JAKSEL
20000000000.0,1050,650,4,4,ADA,JAKSEL
15000000000.0,530,633,4,3,TIDAK ADA,JAKSEL
5900000000.0,188,314,4,4,TIDAK ADA,JAKSEL
185000000000.0,6790,10000,5,5,ADA,JAKSEL
17800000000.0,430,500,4,4,ADA,JAKSEL
11500000000.0,375,400,5,4,ADA,JAKSEL
12000000000.0,340,600,11,11,ADA,JAKSEL
50000000000.0,325,500,3,3,ADA,JAKSEL
7900000000.0,266,475,4,4,ADA,JAKSEL
7000000000.0,250,280,3,3,ADA,JAKSEL
7000000000.0,230,400,4,4,ADA,JAKSEL
20000000000.0,600,890,6,6,ADA,JAKSEL
11000000000.0,575,210,4,3,ADA,JAKSEL
22000000000.0,1860,400,4,4,ADA,JAKSEL
20000000000.0,610,1000,6,6,TIDAK ADA,JAKSEL
16000000000.0,835,600,5,5,TIDAK ADA,JAKSEL
8750000000.0,158,400,3,3,ADA,JAKSEL
39000000000.0,1900,1000,6,5,TIDAK ADA,JAKSEL
10500000000.0,424,313,7,4,ADA,JAKSEL
14000000000.0,651,350,5,3,ADA,JAKSEL
11000000000.0,400,225,4,3,ADA,JAKSEL
24000000000.0,354,350,3,3,ADA,JAKSEL
14500000000.0,600,500,5,4,ADA,JAKSEL
8500000000.0,200,400,4,4,ADA,JAKSEL
9900000000.0,611,500,7,4,ADA,JAKSEL
21000000000.0,557,882,5,4,ADA,JAKSEL
6000000000.0,144,250,4,3,ADA,JAKSEL
